"Voter, Affiliation",ALL-ROOKIE FIRST TEAM,ALL-ROOKIE FIRST TEAM,ALL-ROOKIE FIRST TEAM,ALL-ROOKIE FIRST TEAM,ALL-ROOKIE FIRST TEAM,ALL-ROOKIE SECOND TEAM,ALL-ROOKIE SECOND TEAM,ALL-ROOKIE SECOND TEAM,ALL-ROOKIE SECOND TEAM,ALL-ROOKIE SECOND TEAM
"David Aldridge, The Athletic","Matas Buzelis, Chicago","Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Alex Sarr, Washington","Jaylen Wells, Memphis","Bub Carrington, Washington","Donovan Clingan, Portland","Zach Edey, Memphis","Yves Missi, New Orleans","Kel'el Ware, Miami"
"Sam Amick, The Athletic","Matas Buzelis, Chicago","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Jaylen Wells, Memphis","Donovan Clingan, Portland","Isaiah Collier, Utah","Jared McCain, Philadelphia","Alex Sarr, Washington","Kel'el Ware, Miami"
"Jason Anderson, Sacramento Bee","Matas Buzelis, Chicago","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Jaylen Wells, Memphis","Donovan Clingan, Portland","Kyle Filipowski, Utah","Yves Missi, New Orleans","Alex Sarr, Washington","Kel'el Ware, Miami"
"Greg Anthony, WarnerMedia","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Alex Sarr, Washington","Jaylen Wells, Memphis","Isaiah Collier, Utah","Kyle Filipowski, Utah","Dalton Knecht, Los Angeles Lakers","Yves Missi, New Orleans","Kel'el Ware, Miami"
"Steve Aschburner, NBA.com","Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Alex Sarr, Washington","Kel'el Ware, Miami","Jaylen Wells, Memphis","Bub Carrington, Washington","Donovan Clingan, Portland","Isaiah Collier, Utah","Zach Edey, Memphis","Yves Missi, New Orleans"
"Maxime Aubin, L'Equipe","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Alex Sarr, Washington","Jaylen Wells, Memphis","Bub Carrington, Washington","Kyle Filipowski, Utah","Dalton Knecht, Los Angeles Lakers","Yves Missi, New Orleans","Kel'el Ware, Miami"
"Howard Beck, The Ringer","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Kel'el Ware, Miami","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Bub Carrington, Washington","Donovan Clingan, Portland","Dalton Knecht, Los Angeles Lakers","Yves Missi, New Orleans"
"Jason Beede, Orlando Sentinel","Matas Buzelis, Chicago","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Alex Sarr, Washington","Donovan Clingan, Portland","Isaiah Collier, Utah","Yves Missi, New Orleans","Kel'el Ware, Miami","Jaylen Wells, Memphis"
"Tim Bontemps, ESPN","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Kel'el Ware, Miami","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Donovan Clingan, Portland","Ryan Dunn, Phoenix","Yves Missi, New Orleans","Alex Sarr, Washington"
"Rod Boone, Charlotte Observer","Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Alex Sarr, Washington","Kel'el Ware, Miami","Jaylen Wells, Memphis","Bub Carrington, Washington","Isaiah Collier, Utah","Zach Edey, Memphis","Dalton Knecht, Los Angeles Lakers","Yves Missi, New Orleans"
"Chris Broussard, Fox Sports","Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Alex Sarr, Washington","Kel'el Ware, Miami","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Bub Carrington, Washington","Isaiah Collier, Utah","Zach Edey, Memphis","Dalton Knecht, Los Angeles Lakers"
"Ric Bucher, FS1","Matas Buzelis, Chicago","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Jaylen Wells, Memphis","Bub Carrington, Washington","Donovan Clingan, Portland","Tristan da Silva, Orlando","Yves Missi, New Orleans","Kel'el Ware, Miami"
"Jovan Buha, The Athletic","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Kel'el Ware, Miami","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Bub Carrington, Washington","Donovan Clingan, Portland","Yves Missi, New Orleans","Alex Sarr, Washington"
"Miguel Candeias, A Bola","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Kel'el Ware, Miami","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Donovan Clingan, Portland","Ronald Holland II, Detroit","Yves Missi, New Orleans","Alex Sarr, Washington"
"Anthony Chiang, Miami Herald","Matas Buzelis, Chicago","Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Kel'el Ware, Miami","Jaylen Wells, Memphis","Zach Edey, Memphis","Ronald Holland II, Detroit","Jared McCain, Philadelphia","Yves Missi, New Orleans","Alex Sarr, Washington"
"Damichael Cole, Memphis Commercial Appeal","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Kel'el Ware, Miami","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Bub Carrington, Washington","Donovan Clingan, Portland","Yves Missi, New Orleans","Alex Sarr, Washington"
"Mike Curtis, Dallas Morning News","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Alex Sarr, Washington","Jaylen Wells, Memphis","Bub Carrington, Washington","Donovan Clingan, Portland","Isaiah Collier, Utah","Kyle Filipowski, Utah","Dalton Knecht, Los Angeles Lakers"
"Antoni Daimiel, Movistar+","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Alex Sarr, Washington","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Bub Carrington, Washington","Isaiah Collier, Utah","Yves Missi, New Orleans","Kel'el Ware, Miami"
"Claire de Lune, The Guardian","Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Alex Sarr, Washington","Kel'el Ware, Miami","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Bub Carrington, Washington","Donovan Clingan, Portland","Zach Edey, Memphis","Yves Missi, New Orleans"
"Dan Devine, Yahoo! Sports","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Kel'el Ware, Miami","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Donovan Clingan, Portland","Isaiah Collier, Utah","Ronald Holland II, Detroit","Yves Missi, New Orleans"
"Bennett Durando, Denver Post","Stephon Castle, San Antonio","Zach Edey, Memphis","Yves Missi, New Orleans","Zaccharie Risacher, Atlanta","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Donovan Clingan, Portland","Isaiah Collier, Utah","Alex Sarr, Washington","Kel'el Ware, Miami"
"Chris Fedor, Cleveland.com","Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta","Kel'el Ware, Miami","Jaylen Wells, Memphis","Matas Buzelis, Chicago","Donovan Clingan, Portland","Isaiah Collier, Utah","Yves Missi, New Orleans","Alex Sarr, Washington"
