"Voter, Affiliation",All-Defensive First Team,All-Defensive First Team,All-Defensive First Team,All-Defensive First Team,All-Defensive First Team,All-Defensive Second Team,All-Defensive Second Team,All-Defensive Second Team,All-Defensive Second Team,All-Defensive Second Team
"David Aldridge, The Athletic","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Evan Mobley, Cleveland","Amen Thompson, Houston","Ivica Zubac, LA Clippers","OG Anunoby, New York","Toumani Camara, Portland","Rudy Gobert, Minnesota","Draymond Green, Golden State","Jaren Jackson Jr., Memphis"
"Sam Amick, The Athletic","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","OG Anunoby, New York","Toumani Camara, Portland","Rudy Gobert, Minnesota","Jaren Jackson Jr., Memphis","Ivica Zubac, LA Clippers"
"Jason Anderson, Sacramento Bee","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Evan Mobley, Cleveland","Amen Thompson, Houston","Ivica Zubac, LA Clippers","Toumani Camara, Portland","Rudy Gobert, Minnesota","Draymond Green, Golden State","Jaren Jackson Jr., Memphis","Jalen Williams, Oklahoma City"
"Greg Anthony, WarnerMedia","OG Anunoby, New York","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Toumani Camara, Portland","Rudy Gobert, Minnesota","Jaren Jackson Jr., Memphis","Amen Thompson, Houston","Jalen Williams, Oklahoma City"
"Steve Aschburner, NBA.com","Dyson Daniels, Atlanta","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","Ivica Zubac, LA Clippers","Giannis Antetokounmpo, Milwaukee","Toumani Camara, Portland","Luguentz Dort, Oklahoma City","Rudy Gobert, Minnesota","Jaren Jackson Jr., Memphis"
"Maxime Aubin, L'Equipe","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Jaren Jackson Jr., Memphis","Evan Mobley, Cleveland","Amen Thompson, Houston","OG Anunoby, New York","Dillon Brooks, Houston","Toumani Camara, Portland","Draymond Green, Golden State","Ivica Zubac, LA Clippers"
"Howard Beck, The Ringer","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","OG Anunoby, New York","Toumani Camara, Portland","Rudy Gobert, Minnesota","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
"Jason Beede, Orlando Sentinel","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","Toumani Camara, Portland","Rudy Gobert, Minnesota","Jaren Jackson Jr., Memphis","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
"Tim Bontemps, ESPN","Dyson Daniels, Atlanta","Jaren Jackson Jr., Memphis","Evan Mobley, Cleveland","Amen Thompson, Houston","Ivica Zubac, LA Clippers","Luguentz Dort, Oklahoma City","Rudy Gobert, Minnesota","Draymond Green, Golden State","Derrick White, Boston","Jalen Williams, Oklahoma City"
"Rod Boone, Charlotte Observer","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Shai Gilgeous-Alexander, Oklahoma City","Rudy Gobert, Minnesota","Evan Mobley, Cleveland","Bam Adebayo, Miami","OG Anunoby, New York","Jaren Jackson Jr., Memphis","Amen Thompson, Houston","Myles Turner, Indiana"
"Chris Broussard, Fox Sports","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","OG Anunoby, New York","Anthony Edwards, Minnesota","Shai Gilgeous-Alexander, Oklahoma City","Jaren Jackson Jr., Memphis","Ivica Zubac, LA Clippers"
