"Voter, Affiliation",1st Place (5 points),2nd Place (3 points),3rd Place (1 point)
"David Aldridge, The Athletic","Jalen Brunson, New York","Trae Young, Atlanta","Nikola Jokić, Denver"
"Sam Amick, The Athletic","Jalen Brunson, New York","Nikola Jokić, Denver","Anthony Edwards, Minnesota"
"Jason Anderson, Sacramento Bee","Jalen Brunson, New York","Nikola Jokić, Denver","Trae Young, Atlanta"
"Greg Anthony, WarnerMedia","Jalen Brunson, New York","Nikola Jokić, Denver","Anthony Edwards, Minnesota"
"Steve Aschburner, NBA.com","Jalen Brunson, New York","Nikola Jokić, Denver","Trae Young, Atlanta"
"Maxime Aubin, L'Equipe","Jalen Brunson, New York","Nikola Jokić, Denver","Anthony Edwards, Minnesota"
"Howard Beck, The Ringer","Jalen Brunson, New York","Nikola Jokić, Denver","Darius Garland, Cleveland"
"Jason Beede, Orlando Sentinel","Jalen Brunson, New York","Nikola Jokić, Denver","Trae Young, Atlanta"
"Tim Bontemps, ESPN","Jalen Brunson, New York","Nikola Jokić, Denver","Trae Young, Atlanta"
"Rod Boone, Charlotte Observer","Jalen Brunson, New York","Shai Gilgeous-Alexander, Oklahoma City","Stephen Curry, Golden State"
"Chris Broussard, Fox Sports","Jalen Brunson, New York","Nikola Jokić, Denver","Trae Young, Atlanta"
"Ric Bucher, FS1","Jalen Brunson, New York","Stephen Curry, Golden State","Nikola Jokić, Denver"
"Jovan Buha, The Athletic","Nikola Jokić, Denver","Jalen Brunson, New York","Darius Garland, Cleveland"
"Miguel Candeias, A Bola","Nikola Jokić, Denver","Jalen Brunson, New York","Trae Young, Atlanta"
"Anthony Chiang, Miami Herald","Jalen Brunson, New York","Nikola Jokić, Denver","Trae Young, Atlanta"
"Damichael Cole, Memphis Commercial Appeal","Jalen Brunson, New York","Trae Young, Atlanta","Anthony Edwards, Minnesota"
"Mike Curtis, Dallas Morning News","Jalen Brunson, New York","Nikola Jokić, Denver","Tyrese Maxey, Philadelphia"
"Antoni Daimiel, Movistar+","Nikola Jokić, Denver","Jalen Brunson, New York","Darius Garland, Cleveland"
"Claire de Lune, The Guardian","Nikola Jokić, Denver","LeBron James, Los Angeles Lakers","Jalen Brunson, New York"
"Dan Devine, Yahoo! Sports","Jalen Brunson, New York","Nikola Jokić, Denver","Trae Young, Atlanta"
"Bennett Durando, Denver Post","Jalen Brunson, New York","Nikola Jokić, Denver","Darius Garland, Cleveland"
"Chris Fedor, Cleveland.com","Jalen Brunson, New York","Nikola Jokić, Denver","Darius Garland, Cleveland"
"Aaron Fentress, The Oregonian","Jalen Brunson, New York","Nikola Jokić, Denver","Trae Young, Atlanta"
"Brian Geltzeiler, Sirius Radio","Jalen Brunson, New York","Nikola Jokić, Denver","Stephen Curry, Golden State"
"Katie George, ESPN/ABC","Jalen Brunson, New York","Nikola Jokić, Denver","Trae Young, Atlanta"
"Vince Goodwill, Yahoo! Sports","Jalen Brunson, New York","Nikola Jokić, Denver","Darius Garland, Cleveland"
"Michael Grange, Rogers Sportsnet","Jalen Brunson, New York","Anthony Edwards, Minnesota","Nikola Jokić, Denver"
"Jared Greenberg, WarnerMedia","Jalen Brunson, New York","Nikola Jokić, Denver","Darius Garland, Cleveland"
"Will Guillory, The Athletic","Jalen Brunson, New York","Nikola Jokić, Denver","Stephen Curry, Golden State"
"Zach Harper, The Athletic","Jalen Brunson, New York","Nikola Jokić, Denver","Darius Garland, Cleveland"
"Kurt Helin, NBCSports.com","Jalen Brunson, New York","Nikola Jokić, Denver","Anthony Edwards, Minnesota"
"James Herbert, CBSSports.com","Jalen Brunson, New York","Nikola Jokić, Denver","Anthony Edwards, Minnesota"
"Kyle Hightower, Associated Press","Jalen Brunson, New York","Nikola Jokić, Denver","Anthony Edwards, Minnesota"
"Adam Himmelsbach, Boston Globe","Jalen Brunson, New York","Shai Gilgeous-Alexander, Oklahoma City","Stephen Curry, Golden State"
"Kelly Iko, The Athletic","Jalen Brunson, New York","Nikola Jokić, Denver","Trae Young, Atlanta"
"Frank Isola, Sirius Radio","Jalen Brunson, New York","Nikola Jokić, Denver","Anthony Edwards, Minnesota"
"Richard Jefferson, ESPN/ABC","Nikola Jokić, Denver","Jalen Brunson, New York","Trae Young, Atlanta"
"Ernie Johnson, WarnerMedia","Jalen Brunson, New York","Stephen Curry, Golden State","Anthony Edwards, Minnesota"
"Fred Katz, The Athletic","Nikola Jokić, Denver","Jalen Brunson, New York","Darius Garland, Cleveland"
"Marc Kestecher, ESPN Radio","Jalen Brunson, New York","Nikola Jokić, Denver","Trae Young, Atlanta"
"Eric Koreen, The Athletic","Nikola Jokić, Denver","Jalen Brunson, New York","Darius Garland, Cleveland"
"Andy Larsen, Salt Lake Tribune","LeBron James, Los Angeles Lakers","Jalen Brunson, New York","Nikola Jokić, Denver"
"Adam Lefkoe, WarnerMedia","Jalen Brunson, New York","Anthony Edwards, Minnesota","Nikola Jokić, Denver"
"Tim Legler, ESPN/ABC","Nikola Jokić, Denver","Jalen Brunson, New York","Anthony Edwards, Minnesota"
"Brian Lewis, New York Post","Jalen Brunson, New York","Nikola Jokić, Denver","Darius Garland, Cleveland"
"Rob Mahoney, The Ringer","Jalen Brunson, New York","Nikola Jokić, Denver","Shai Gilgeous-Alexander, Oklahoma City"
"Chris Mannix, Sports Illustrated","Nikola Jokić, Denver","Jalen Brunson, New York","Stephen Curry, Golden State"
"Sebastian Martinez-Christensen, ESPN Latin America","Jalen Brunson, New York","Trae Young, Atlanta","Nikola Jokić, Denver"
"Jeff McDonald, San Antonio Express-News","Jalen Brunson, New York","Nikola Jokić, Denver","LeBron James, Los Angeles Lakers"
"Steve McGehee, News 9","Nikola Jokić, Denver","Jalen Brunson, New York","Trae Young, Atlanta"
"Dave McMenamin, ESPN","Nikola Jokić, Denver","Jalen Brunson, New York","LeBron James, Los Angeles Lakers"
"Chao Meng, TENCENT-ESPN","Nikola Jokić, Denver","Jalen Brunson, New York","Anthony Edwards, Minnesota"
"Chris Miles, WarnerMedia","Nikola Jokić, Denver","Jalen Brunson, New York","Anthony Edwards, Minnesota"
"Yoko Miyaji, Sports Graphic Number","Jalen Brunson, New York","Nikola Jokić, Denver","Trae Young, Atlanta"
"Yoav Modai, Sport 5","Jalen Brunson, New York","Nikola Jokić, Denver","Trae Young, Atlanta"
"Law Murray, The Athletic","Jalen Brunson, New York","Nikola Jokić, Denver","Darius Garland, Cleveland"
"Eric Nehm, The Athletic","Nikola Jokić, Denver","Jalen Brunson, New York","Stephen Curry, Golden State"
"Rachel Nichols, Fox Sports","Jalen Brunson, New York","Nikola Jokić, Denver","Trae Young, Atlanta"
"Kevin O'Connor, Yahoo! Sports","Jalen Brunson, New York","Nikola Jokić, Denver","Darius Garland, Cleveland"
"Candace Parker, WarnerMedia","Jalen Brunson, New York","Nikola Jokić, Denver","Anthony Edwards, Minnesota"
"Dave Pasch, ESPN/ABC","Nikola Jokić, Denver","Jalen Brunson, New York","Stephen Curry, Golden State"
"Kevin Pelton, ESPN","Jalen Brunson, New York","LeBron James, Los Angeles Lakers","Nikola Jokić, Denver"
"Kendrick Perkins, ESPN","Anthony Edwards, Minnesota","Donovan Mitchell, Cleveland","Shai Gilgeous-Alexander, Oklahoma City"
"Michael Pina, The Ringer","Jalen Brunson, New York","Nikola Jokić, Denver","Trae Young, Atlanta"
"Julia Poe, Chicago Tribune","Jalen Brunson, New York","Nikola Jokić, Denver","Trae Young, Atlanta"
"Keith Pompey, Philadelphia Inquirer","Jalen Brunson, New York","Nikola Jokić, Denver","Anthony Edwards, Minnesota"
"Steve Popper, Newsday","Jalen Brunson, New York","Nikola Jokić, Denver","Trae Young, Atlanta"
"Shaun Powell, NBA.com","Jalen Brunson, New York","Nikola Jokić, Denver","Trae Young, Atlanta"
