"Voter, Affiliation",1st Place (10 points),2nd Place (7 points),3rd Place (5 points),4th Place (3 points),5th Place (1 point)
"David Aldridge, The Athletic","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Jayson Tatum, Boston","Giannis Antetokounmpo, Milwaukee","Donovan Mitchell, Cleveland"
"Sam Amick, The Athletic","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston","Donovan Mitchell, Cleveland"
"Jason Anderson, Sacramento Bee","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston","Donovan Mitchell, Cleveland"
"Greg Anthony, WarnerMedia","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Giannis Antetokounmpo, Milwaukee","Donovan Mitchell, Cleveland","Jayson Tatum, Boston"
"Steve Aschburner, NBA.com","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston","Donovan Mitchell, Cleveland"
"Maxime Aubin, L'Equipe","Nikola Jokić, Denver","Shai Gilgeous-Alexander, Oklahoma City","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston","LeBron James, Los Angeles Lakers"
"Howard Beck, The Ringer","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston","Donovan Mitchell, Cleveland"
"Jason Beede, Orlando Sentinel","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston","Donovan Mitchell, Cleveland"
"Tim Bontemps, ESPN","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston","Jalen Brunson, New York"
"Rod Boone, Charlotte Observer","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston","Anthony Edwards, Minnesota"
"Chris Broussard, Fox Sports","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston","Cade Cunningham, Detroit"
"Ric Bucher, FS1","Nikola Jokić, Denver","Shai Gilgeous-Alexander, Oklahoma City","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston","Cade Cunningham, Detroit"
"Jovan Buha, The Athletic","Nikola Jokić, Denver","Shai Gilgeous-Alexander, Oklahoma City","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston","LeBron James, Los Angeles Lakers"
"Miguel Candeias, A Bola","Nikola Jokić, Denver","Shai Gilgeous-Alexander, Oklahoma City","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston","Donovan Mitchell, Cleveland"
"Anthony Chiang, Miami Herald","Nikola Jokić, Denver","Shai Gilgeous-Alexander, Oklahoma City","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston","Donovan Mitchell, Cleveland"
"Damichael Cole, Memphis Commercial Appeal","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston","Cade Cunningham, Detroit"
"Mike Curtis, Dallas Morning News","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston","Donovan Mitchell, Cleveland"
"Antoni Daimiel, Movistar+","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston","Donovan Mitchell, Cleveland"
"Claire de Lune, The Guardian","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston","LeBron James, Los Angeles Lakers"
"Dan Devine, Yahoo! Sports","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston","Donovan Mitchell, Cleveland"
"Bennett Durando, Denver Post","Nikola Jokić, Denver","Shai Gilgeous-Alexander, Oklahoma City","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston","Donovan Mitchell, Cleveland"
"Chris Fedor, Cleveland.com","Nikola Jokić, Denver","Shai Gilgeous-Alexander, Oklahoma City","Jayson Tatum, Boston","Giannis Antetokounmpo, Milwaukee","Donovan Mitchell, Cleveland"
"Aaron Fentress, The Oregonian","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Jayson Tatum, Boston","Giannis Antetokounmpo, Milwaukee","Donovan Mitchell, Cleveland"
"Brian Geltzeiler, Sirius Radio","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Jayson Tatum, Boston","Giannis Antetokounmpo, Milwaukee","Donovan Mitchell, Cleveland"
"Katie George, ESPN/ABC","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston","Donovan Mitchell, Cleveland"
"Vince Goodwill, Yahoo! Sports","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston","Donovan Mitchell, Cleveland"
"Michael Grange, Rogers Sportsnet","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston","Donovan Mitchell, Cleveland"
"Jared Greenberg, WarnerMedia","Nikola Jokić, Denver","Shai Gilgeous-Alexander, Oklahoma City","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston","Donovan Mitchell, Cleveland"
"Will Guillory, The Athletic","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston","Donovan Mitchell, Cleveland"
"Zach Harper, The Athletic","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston","Donovan Mitchell, Cleveland"
"Kurt Helin, NBCSports.com","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston","LeBron James, Los Angeles Lakers"
