voter,affil,Team1_1,Team1_2,Team1_3,Team1_4,Team1_5,Team2_1,Team2_2,Team2_3,Team2_4,Team2_5,Team3_1,Team3_2,Team3_3,Team3_4,Team3_5
David Aldridge,The Athletic,"Giannis Antetokounmpo, Milwaukee","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Donovan Mitchell, Cleveland","Jayson Tatum, Boston","Cade Cunningham, Detroit","Stephen Curry, Golden State","Anthony Edwards, Minnesota","LeBron James, Los Angeles Lakers","Evan Mobley, Cleveland","Jalen Brunson, New York","Tyrese Haliburton, Indiana","James Harden, LA Clippers","Jaren Jackson Jr., Memphis","Jalen Williams, Oklahoma City"
Sam Amick,The Athletic,"Giannis Antetokounmpo, Milwaukee","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Donovan Mitchell, Cleveland","Jayson Tatum, Boston","Jalen Brunson, New York","Stephen Curry, Golden State","Anthony Edwards, Minnesota","LeBron James, Los Angeles Lakers","Evan Mobley, Cleveland","Cade Cunningham, Detroit","Tyrese Haliburton, Indiana","James Harden, LA Clippers","Jaren Jackson Jr., Memphis","Jalen Williams, Oklahoma City"
Jason Anderson,Sacramento Bee,"Giannis Antetokounmpo, Milwaukee","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Donovan Mitchell, Cleveland","Jayson Tatum, Boston","Jalen Brunson, New York","Stephen Curry, Golden State","Anthony Edwards, Minnesota","LeBron James, Los Angeles Lakers","Evan Mobley, Cleveland","Cade Cunningham, Detroit","Tyrese Haliburton, Indiana","Jaren Jackson Jr., Memphis","Domantas Sabonis, Sacramento","Karl-Anthony Towns, New York"
Greg Anthony,WarnerMedia,"Giannis Antetokounmpo, Milwaukee","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Donovan Mitchell, Cleveland","Jayson Tatum, Boston","Stephen Curry, Golden State","Anthony Edwards, Minnesota","James Harden, LA Clippers","LeBron James, Los Angeles Lakers","Evan Mobley, Cleveland","Jalen Brunson, New York","Cade Cunningham, Detroit","Tyrese Haliburton, Indiana","Jaren Jackson Jr., Memphis","Karl-Anthony Towns, New York"
Steve Aschburner,NBA.com,"Giannis Antetokounmpo, Milwaukee","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Donovan Mitchell, Cleveland","Jayson Tatum, Boston","Jalen Brunson, New York","Cade Cunningham, Detroit","Stephen Curry, Golden State","Evan Mobley, Cleveland","Alperen Sengun, Houston","Anthony Edwards, Minnesota","LeBron James, Los Angeles Lakers","Domantas Sabonis, Sacramento","Karl-Anthony Towns, New York","Jalen Williams, Oklahoma City"
Maxime Aubin,L'Equipe,"Giannis Antetokounmpo, Milwaukee","Shai Gilgeous-Alexander, Oklahoma City","LeBron James, Los Angeles Lakers","Nikola Jokić, Denver","Jayson Tatum, Boston","Jalen Brunson, New York","Cade Cunningham, Detroit","Anthony Edwards, Minnesota","Donovan Mitchell, Cleveland","Karl-Anthony Towns, New York","Stephen Curry, Golden State","Tyrese Haliburton, Indiana","James Harden, LA Clippers","Evan Mobley, Cleveland","Ivica Zubac, LA Clippers"
Howard Beck,The Ringer,"Giannis Antetokounmpo, Milwaukee","Stephen Curry, Golden State","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Jayson Tatum, Boston","Anthony Edwards, Minnesota","LeBron James, Los Angeles Lakers","Donovan Mitchell, Cleveland","Evan Mobley, Cleveland","Karl-Anthony Towns, New York","Jalen Brunson, New York","Cade Cunningham, Detroit","Tyrese Haliburton, Indiana","James Harden, LA Clippers","Jalen Williams, Oklahoma City"
Jason Beede,Orlando Sentinel,"Giannis Antetokounmpo, Milwaukee","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Donovan Mitchell, Cleveland","Jayson Tatum, Boston","Jalen Brunson, New York","Cade Cunningham, Detroit","Anthony Edwards, Minnesota","Evan Mobley, Cleveland","Karl-Anthony Towns, New York","Stephen Curry, Golden State","Tyrese Haliburton, Indiana","LeBron James, Los Angeles Lakers","Alperen Sengun, Houston","Jalen Williams, Oklahoma City"
Tim Bontemps,ESPN,"Giannis Antetokounmpo, Milwaukee","Jalen Brunson, New York","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Jayson Tatum, Boston","Stephen Curry, Golden State","Anthony Edwards, Minnesota","LeBron James, Los Angeles Lakers","Donovan Mitchell, Cleveland","Evan Mobley, Cleveland","Cade Cunningham, Detroit","James Harden, LA Clippers","Jaren Jackson Jr., Memphis","Karl-Anthony Towns, New York","Jalen Williams, Oklahoma City"
Rod Boone,Charlotte Observer,"Giannis Antetokounmpo, Milwaukee","Jalen Brunson, New York","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Jayson Tatum, Boston","Cade Cunningham, Detroit","Stephen Curry, Golden State","Anthony Edwards, Minnesota","LeBron James, Los Angeles Lakers","Karl-Anthony Towns, New York","Devin Booker, Phoenix","James Harden, LA Clippers","Jaren Jackson Jr., Memphis","Donovan Mitchell, Cleveland","Evan Mobley, Cleveland"
Chris Broussard,Fox Sports,"Giannis Antetokounmpo, Milwaukee","Anthony Edwards, Minnesota","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Jayson Tatum, Boston","Cade Cunningham, Detroit","Stephen Curry, Golden State","LeBron James, Los Angeles Lakers","Donovan Mitchell, Cleveland","Karl-Anthony Towns, New York","Jalen Brunson, New York","Tyrese Haliburton, Indiana","James Harden, LA Clippers","Evan Mobley, Cleveland","Alperen Sengun, Houston"
Ric Bucher,FS1,"Giannis Antetokounmpo, Milwaukee","Cade Cunningham, Detroit","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Jayson Tatum, Boston","Bam Adebayo, Miami","Jalen Brunson, New York","Anthony Edwards, Minnesota","Darius Garland, Cleveland","Jalen Williams, Oklahoma City","Stephen Curry, Golden State","LeBron James, Los Angeles Lakers","Donovan Mitchell, Cleveland","Pascal Siakam, Indiana","Karl-Anthony Towns, New York"
Jovan Buha,The Athletic,"Giannis Antetokounmpo, Milwaukee","Shai Gilgeous-Alexander, Oklahoma City","LeBron James, Los Angeles Lakers","Nikola Jokić, Denver","Jayson Tatum, Boston","Jalen Brunson, New York","Stephen Curry, Golden State","Anthony Edwards, Minnesota","Donovan Mitchell, Cleveland","Evan Mobley, Cleveland","Cade Cunningham, Detroit","Tyrese Haliburton, Indiana","Karl-Anthony Towns, New York","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
Miguel Candeias,A Bola,"Giannis Antetokounmpo, Milwaukee","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokić, Denver","Donovan Mitchell, Cleveland","Jayson Tatum, Boston","Jalen Brunson, New York","Stephen Curry, Golden State","Anthony Edwards, Minnesota","LeBron James, Los Angeles Lakers","Evan Mobley, Cleveland","Cade Cunningham, Detroit","Tyrese Haliburton, Indiana","Jaren Jackson Jr., Memphis","Alperen Sengun, Houston","Karl-Anthony Towns, New York"
