voter,affil,1stPlace,2ndPlace,3rdPlace
David Aldridge,The Athletic,"Cade Cunningham, Detroit","Dyson Daniels, Atlanta","Amen Thompson, Houston"
Sam Amick,The Athletic,"Christian Braun, Denver","Dyson Daniels, Atlanta","Cade Cunningham, Detroit"
Jason Anderson,Sacramento Bee,"Christian Braun, Denver","Dyson Daniels, Atlanta","Ivica Zubac, LA Clippers"
Greg Anthony,WarnerMedia,"Ivica Zubac, LA Clippers","Dyson Daniels, Atlanta","Christian Braun, Denver"
Steve Aschburner,NBA.com,"Dyson Daniels, Atlanta","Ivica Zubac, LA Clippers","Christian Braun, Denver"
Maxime Aubin,L'Equipe,"Cade Cunningham, Detroit","Dyson Daniels, Atlanta","Christian Braun, Denver"
Howard Beck,The Ringer,"Dyson Daniels, Atlanta","Christian Braun, Denver","Ivica Zubac, LA Clippers"
Jason Beede,Orlando Sentinel,"Dyson Daniels, Atlanta","Cade Cunningham, Detroit","Christian Braun, Denver"
Tim Bontemps,ESPN,"Evan Mobley, Cleveland","Ivica Zubac, LA Clippers","Austin Reaves, Los Angeles Lakers"
Rod Boone,Charlotte Observer,"Cade Cunningham, Detroit","Dyson Daniels, Atlanta","Christian Braun, Denver"
Chris Broussard,Fox Sports,"Dyson Daniels, Atlanta","Amen Thompson, Houston","Austin Reaves, Los Angeles Lakers"
Ric Bucher,FS1,"Dyson Daniels, Atlanta","Tyler Herro, Miami","Amen Thompson, Houston"
Jovan Buha,The Athletic,"Ivica Zubac, LA Clippers","Austin Reaves, Los Angeles Lakers","Tyler Herro, Miami"
Miguel Candeias,A Bola,"Cade Cunningham, Detroit","Dyson Daniels, Atlanta","Ivica Zubac, LA Clippers"
Anthony Chiang,Miami Herald,"Dyson Daniels, Atlanta","Tyler Herro, Miami","Cade Cunningham, Detroit"
Damichael Cole,Memphis Commercial Appeal,"Dyson Daniels, Atlanta","Christian Braun, Denver","Cade Cunningham, Detroit"
Mike Curtis,Dallas Morning News,"Cade Cunningham, Detroit","Dyson Daniels, Atlanta","Christian Braun, Denver"
Antoni Daimiel,Movistar+,"Dyson Daniels, Atlanta","Christian Braun, Denver","Evan Mobley, Cleveland"
Claire de Lune,The Guardian,"Dyson Daniels, Atlanta","Austin Reaves, Los Angeles Lakers","Ivica Zubac, LA Clippers"
Dan Devine,Yahoo! Sports,"Christian Braun, Denver","Dyson Daniels, Atlanta","Ivica Zubac, LA Clippers"
Bennett Durando,Denver Post,"Ivica Zubac, LA Clippers","Christian Braun, Denver","Dyson Daniels, Atlanta"
Chris Fedor,Cleveland.com,"Dyson Daniels, Atlanta","Christian Braun, Denver","Ivica Zubac, LA Clippers"
Aaron Fentress,The Oregonian,"Dyson Daniels, Atlanta","Christian Braun, Denver","Ivica Zubac, LA Clippers"
Brian Geltzeiler,Sirius Radio,"Ivica Zubac, LA Clippers","Josh Giddey, Chicago","Dyson Daniels, Atlanta"
Katie George,ESPN/ABC,"Dyson Daniels, Atlanta","Ivica Zubac, LA Clippers","Christian Braun, Denver"
Vince Goodwill,Yahoo! Sports,"Dyson Daniels, Atlanta","Cade Cunningham, Detroit","Christian Braun, Denver"
Michael Grange,Rogers Sportsnet,"Christian Braun, Denver","Dyson Daniels, Atlanta","Austin Reaves, Los Angeles Lakers"
Jared Greenberg,WarnerMedia,"Ivica Zubac, LA Clippers","Dyson Daniels, Atlanta","Josh Giddey, Chicago"
Will Guillory,The Athletic,"Dyson Daniels, Atlanta","Christian Braun, Denver","Austin Reaves, Los Angeles Lakers"
Zach Harper,The Athletic,"Ivica Zubac, LA Clippers","Evan Mobley, Cleveland","Cade Cunningham, Detroit"
Kurt Helin,NBCSports.com,"Dyson Daniels, Atlanta","Christian Braun, Denver","Cade Cunningham, Detroit"
James Herbert,CBSSports.com,"Ivica Zubac, LA Clippers","Dyson Daniels, Atlanta","Christian Braun, Denver"
