voter,affil,1stPlace,2ndPlace,3rdPlace
David Aldridge,The Athletic,"Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Jaylen Wells, Memphis"
Sam Amick,The Athletic,"Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Jaylen Wells, Memphis"
Jason Anderson,Sacramento Bee,"Stephon Castle, San Antonio","Jaylen Wells, Memphis","Zaccharie Risacher, Atlanta"
Greg Anthony,WarnerMedia,"Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Alex Sarr, Washington"
Steve Aschburner,NBA.com,"Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Alex Sarr, Washington"
Maxime Aubin,L'Equipe,"Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Alex Sarr, Washington"
Howard Beck,The Ringer,"Stephon Castle, San Antonio","Jaylen Wells, Memphis","Zaccharie Risacher, Atlanta"
Jason Beede,Orlando Sentinel,"Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Alex Sarr, Washington"
Tim Bontemps,ESPN,"Zaccharie Risacher, Atlanta","Stephon Castle, San Antonio","Jaylen Wells, Memphis"
Rod Boone,Charlotte Observer,"Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Jaylen Wells, Memphis"
Chris Broussard,Fox Sports,"Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Kel'el Ware, Miami"
Ric Bucher,FS1,"Stephon Castle, San Antonio","Zach Edey, Memphis","Zaccharie Risacher, Atlanta"
Jovan Buha,The Athletic,"Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Jaylen Wells, Memphis"
Miguel Candeias,A Bola,"Stephon Castle, San Antonio","Jaylen Wells, Memphis","Zaccharie Risacher, Atlanta"
Anthony Chiang,Miami Herald,"Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Kel'el Ware, Miami"
Damichael Cole,Memphis Commercial Appeal,"Stephon Castle, San Antonio","Jaylen Wells, Memphis","Zaccharie Risacher, Atlanta"
Mike Curtis,Dallas Morning News,"Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Alex Sarr, Washington"
Antoni Daimiel,Movistar+,"Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Jaylen Wells, Memphis"
Claire de Lune,The Guardian,"Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Alex Sarr, Washington"
Dan Devine,Yahoo! Sports,"Stephon Castle, San Antonio","Jaylen Wells, Memphis","Zaccharie Risacher, Atlanta"
Bennett Durando,Denver Post,"Stephon Castle, San Antonio","Jaylen Wells, Memphis","Zaccharie Risacher, Atlanta"
Chris Fedor,Cleveland.com,"Stephon Castle, San Antonio","Jaylen Wells, Memphis","Zaccharie Risacher, Atlanta"
Aaron Fentress,The Oregonian,"Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Kel'el Ware, Miami"
Brian Geltzeiler,Sirius Radio,"Zaccharie Risacher, Atlanta","Stephon Castle, San Antonio","Matas Buzelis, Chicago"
Katie George,ESPN/ABC,"Stephon Castle, San Antonio","Jaylen Wells, Memphis","Zaccharie Risacher, Atlanta"
Vince Goodwill,Yahoo! Sports,"Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Alex Sarr, Washington"
Michael Grange,Rogers Sportsnet,"Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Jaylen Wells, Memphis"
Jared Greenberg,WarnerMedia,"Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Jaylen Wells, Memphis"
Will Guillory,The Athletic,"Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Zach Edey, Memphis"
Zach Harper,The Athletic,"Stephon Castle, San Antonio","Jaylen Wells, Memphis","Zaccharie Risacher, Atlanta"
Kurt Helin,NBCSports.com,"Stephon Castle, San Antonio","Jaylen Wells, Memphis","Zaccharie Risacher, Atlanta"
James Herbert,CBSSports.com,"Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Jaylen Wells, Memphis"
Kyle Hightower,Associated Press,"Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Jaylen Wells, Memphis"
Adam Himmelsbach,Boston Globe,"Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Jaylen Wells, Memphis"
Kelly Iko,The Athletic,"Stephon Castle, San Antonio","Jaylen Wells, Memphis","Zaccharie Risacher, Atlanta"
Frank Isola,Sirius Radio,"Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Jaylen Wells, Memphis"
Richard Jefferson,ESPN/ABC,"Stephon Castle, San Antonio","Zaccharie Risacher, Atlanta","Alex Sarr, Washington"
Ernie Johnson,WarnerMedia,"Stephon Castle, San Antonio","Jaylen Wells, Memphis","Zaccharie Risacher, Atlanta"
