voter,affil,1stPlace,2ndPlace,3rdPlace
David Aldridge,The Athletic,"Payton Pritchard, Boston","Ty Jerome, Cleveland","Malik Beasley, Detroit"
Sam Amick,The Athletic,"Payton Pritchard, Boston","Malik Beasley, Detroit","De'Andre Hunter, Cleveland"
Jason Anderson,Sacramento Bee,"Payton Pritchard, Boston","Malik Beasley, Detroit","De'Andre Hunter, Cleveland"
Greg Anthony,WarnerMedia,"Payton Pritchard, Boston","Malik Beasley, Detroit","De'Andre Hunter, Cleveland"
Steve Aschburner,NBA.com,"Payton Pritchard, Boston","Malik Beasley, Detroit","Ty Jerome, Cleveland"
Maxime Aubin,L'Equipe,"Payton Pritchard, Boston","Malik Beasley, Detroit","Ty Jerome, Cleveland"
Howard Beck,The Ringer,"Malik Beasley, Detroit","Naz Reid, Minnesota","Payton Pritchard, Boston"
Jason Beede,Orlando Sentinel,"Payton Pritchard, Boston","Malik Beasley, Detroit","Ty Jerome, Cleveland"
Tim Bontemps,ESPN,"Payton Pritchard, Boston","Nickeil Alexander-Walker, Minnesota","Malik Beasley, Detroit"
Rod Boone,Charlotte Observer,"Payton Pritchard, Boston","Naz Reid, Minnesota","Ty Jerome, Cleveland"
Chris Broussard,Fox Sports,"Malik Beasley, Detroit","Payton Pritchard, Boston","De'Andre Hunter, Cleveland"
Ric Bucher,FS1,"Payton Pritchard, Boston","Ty Jerome, Cleveland","Malik Beasley, Detroit"
Jovan Buha,The Athletic,"Payton Pritchard, Boston","Naz Reid, Minnesota","Malik Beasley, Detroit"
Miguel Candeias,A Bola,"Payton Pritchard, Boston","Malik Beasley, Detroit","Ty Jerome, Cleveland"
Anthony Chiang,Miami Herald,"Payton Pritchard, Boston","Malik Beasley, Detroit","Ty Jerome, Cleveland"
Damichael Cole,Memphis Commercial Appeal,"Malik Beasley, Detroit","Payton Pritchard, Boston","Ty Jerome, Cleveland"
Mike Curtis,Dallas Morning News,"Payton Pritchard, Boston","Malik Beasley, Detroit","Ty Jerome, Cleveland"
Antoni Daimiel,Movistar+,"Payton Pritchard, Boston","Malik Beasley, Detroit","Russell Westbrook, Denver"
Claire de Lune,The Guardian,"Payton Pritchard, Boston","Ty Jerome, Cleveland","Malik Beasley, Detroit"
Dan Devine,Yahoo! Sports,"Payton Pritchard, Boston","Malik Beasley, Detroit","Ty Jerome, Cleveland"
Bennett Durando,Denver Post,"Malik Beasley, Detroit","Ty Jerome, Cleveland","Payton Pritchard, Boston"
Chris Fedor,Cleveland.com,"Ty Jerome, Cleveland","Payton Pritchard, Boston","Malik Beasley, Detroit"
Aaron Fentress,The Oregonian,"Payton Pritchard, Boston","Malik Beasley, Detroit","Ty Jerome, Cleveland"
Brian Geltzeiler,Sirius Radio,"Malik Beasley, Detroit","Naz Reid, Minnesota","Payton Pritchard, Boston"
Katie George,ESPN/ABC,"Payton Pritchard, Boston","Malik Beasley, Detroit","Russell Westbrook, Denver"
Vince Goodwill,Yahoo! Sports,"Payton Pritchard, Boston","Malik Beasley, Detroit","Naz Reid, Minnesota"
Michael Grange,Rogers Sportsnet,"Payton Pritchard, Boston","Malik Beasley, Detroit","Ty Jerome, Cleveland"
Jared Greenberg,WarnerMedia,"Payton Pritchard, Boston","Malik Beasley, Detroit","De'Andre Hunter, Cleveland"
Will Guillory,The Athletic,"Malik Beasley, Detroit","Payton Pritchard, Boston","Ty Jerome, Cleveland"
Zach Harper,The Athletic,"Payton Pritchard, Boston","Malik Beasley, Detroit","Ty Jerome, Cleveland"
Kurt Helin,NBCSports.com,"Payton Pritchard, Boston","Malik Beasley, Detroit","Ty Jerome, Cleveland"
James Herbert,CBSSports.com,"Payton Pritchard, Boston","Ty Jerome, Cleveland","Malik Beasley, Detroit"
Kyle Hightower,Associated Press,"Payton Pritchard, Boston","Ty Jerome, Cleveland","Malik Beasley, Detroit"
Adam Himmelsbach,Boston Globe,"Payton Pritchard, Boston","Malik Beasley, Detroit","Ty Jerome, Cleveland"
Kelly Iko,The Athletic,"Payton Pritchard, Boston","Malik Beasley, Detroit","De'Andre Hunter, Cleveland"
Frank Isola,Sirius Radio,"Payton Pritchard, Boston","Malik Beasley, Detroit","Naz Reid, Minnesota"
Richard Jefferson,ESPN/ABC,"Payton Pritchard, Boston","Malik Beasley, Detroit","Ty Jerome, Cleveland"
Ernie Johnson,WarnerMedia,"Payton Pritchard, Boston","Malik Beasley, Detroit","De'Andre Hunter, Cleveland"
Fred Katz,The Athletic,"Payton Pritchard, Boston","Naz Reid, Minnesota","Malik Beasley, Detroit"
Marc Kestecher,ESPN Radio,"Payton Pritchard, Boston","Malik Beasley, Detroit","De'Andre Hunter, Cleveland"
Eric Koreen,The Athletic,"Payton Pritchard, Boston","Malik Beasley, Detroit","Naz Reid, Minnesota"
Andy Larsen,Salt Lake Tribune,"Payton Pritchard, Boston","Malik Beasley, Detroit","Ty Jerome, Cleveland"
Adam Lefkoe,WarnerMedia,"Payton Pritchard, Boston","Malik Beasley, Detroit","Ty Jerome, Cleveland"
Tim Legler,ESPN/ABC,"Malik Beasley, Detroit","Payton Pritchard, Boston","Naz Reid, Minnesota"
Brian Lewis,New York Post,"Payton Pritchard, Boston","Malik Beasley, Detroit","Ty Jerome, Cleveland"
Rob Mahoney,The Ringer,"Payton Pritchard, Boston","Ty Jerome, Cleveland","Malik Beasley, Detroit"
Chris Mannix,Sports Illustrated,"Payton Pritchard, Boston","Malik Beasley, Detroit","Ty Jerome, Cleveland"
Sebastian Martinez-Christensen,ESPN Latin America,"Payton Pritchard, Boston","Ty Jerome, Cleveland","Malik Beasley, Detroit"
Jeff McDonald,San Antonio Express-News,"Payton Pritchard, Boston","Malik Beasley, Detroit","Ty Jerome, Cleveland"
Steve McGehee,News 9,"Payton Pritchard, Boston","Malik Beasley, Detroit","Russell Westbrook, Denver"
Dave McMenamin,ESPN,"Payton Pritchard, Boston","Ty Jerome, Cleveland","Malik Beasley, Detroit"
Chao Meng,TENCENT-ESPN,"Payton Pritchard, Boston","Malik Beasley, Detroit","Ty Jerome, Cleveland"
Chris Miles,WarnerMedia,"Malik Beasley, Detroit","Payton Pritchard, Boston","De'Andre Hunter, Cleveland"
Yoko Miyaji,Sports Graphic Number,"De'Andre Hunter, Cleveland","Payton Pritchard, Boston","Malik Beasley, Detroit"
Yoav Modai,Sport 5,"Malik Beasley, Detroit","Payton Pritchard, Boston","De'Andre Hunter, Cleveland"
Law Murray,The Athletic,"Payton Pritchard, Boston","Nickeil Alexander-Walker, Minnesota","Malik Beasley, Detroit"
Eric Nehm,The Athletic,"Payton Pritchard, Boston","Malik Beasley, Detroit","Ty Jerome, Cleveland"
Rachel Nichols,Fox Sports,"Payton Pritchard, Boston","Malik Beasley, Detroit","Ty Jerome, Cleveland"
Kevin O'Connor,Yahoo! Sports,"Payton Pritchard, Boston","Malik Beasley, Detroit","Ty Jerome, Cleveland"
Candace Parker,WarnerMedia,"Payton Pritchard, Boston","De'Andre Hunter, Cleveland","Malik Beasley, Detroit"
Dave Pasch,ESPN/ABC,"Payton Pritchard, Boston","Malik Beasley, Detroit","Ty Jerome, Cleveland"
Kevin Pelton,ESPN,"Payton Pritchard, Boston","Malik Beasley, Detroit","Ty Jerome, Cleveland"
Kendrick Perkins,ESPN,"Payton Pritchard, Boston","Malik Beasley, Detroit","Nickeil Alexander-Walker, Minnesota"
Michael Pina,The Ringer,"Payton Pritchard, Boston","Malik Beasley, Detroit","Ty Jerome, Cleveland"
Julia Poe,Chicago Tribune,"Payton Pritchard, Boston","Malik Beasley, Detroit","Ty Jerome, Cleveland"
Keith Pompey,Philadelphia Inquirer,"Payton Pritchard, Boston","Malik Beasley, Detroit","Ty Jerome, Cleveland"
Steve Popper,Newsday,"Payton Pritchard, Boston","Malik Beasley, Detroit","Naz Reid, Minnesota"
Shaun Powell,NBA.com,"Payton Pritchard, Boston","Malik Beasley, Detroit","De'Andre Hunter, Cleveland"
Duane Rankin,Arizona Republic,"Payton Pritchard, Boston","Ty Jerome, Cleveland","Naz Reid, Minnesota"
Stephanie Ready,WarnerMedia,"Payton Pritchard, Boston","Malik Beasley, Detroit","Ty Jerome, Cleveland"
Bill Reiter,CBSSports.com,"Payton Pritchard, Boston","Malik Beasley, Detroit","Ty Jerome, Cleveland"
Remi Reverchon,BeIN Sports,"Payton Pritchard, Boston","Malik Beasley, Detroit","Alex Caruso, Oklahoma City"
Tim Reynolds,Associated Press,"Payton Pritchard, Boston","Malik Beasley, Detroit","Ty Jerome, Cleveland"
